epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2877,0.26747,1.97594,1.06269,0.61677,0.70179,0.59394,0.58514,0.22572,0.80841,0.39909,9.75421e-05,9.75421e-05,9.75421e-05
2,84.1147,0.12048,0.64551,0.93021,0.60135,0.8784,0.66811,0.6668,0.15261,0.71088,0.26781,0.000193606,0.000193606,0.000193606
3,118.516,0.11981,0.55169,0.92677,0.61241,0.83965,0.64917,0.6295,0.24454,0.82817,0.3545,0.00028773,0.00028773,0.00028773
4,152.677,0.11885,0.52355,0.91951,0.67352,0.66872,0.64728,0.64045,0.25437,0.71659,0.37349,0.000285268,0.000285268,0.000285268
5,186.923,0.11049,0.48095,0.9151,0.83696,0.56435,0.64096,0.56254,0.45347,1.0479,0.53356,0.000282358,0.000282358,0.000282358
6,221.058,0.10395,0.46679,0.91738,0.60723,0.84709,0.71373,0.69934,0.26348,0.71992,0.40152,0.000279447,0.000279447,0.000279447
7,255.316,0.09886,0.44573,0.9145,0.70385,0.80337,0.70473,0.70055,0.19595,0.67812,0.30457,0.000276536,0.000276536,0.000276536
8,289.389,0.09214,0.41817,0.90615,0.60379,0.82142,0.68275,0.68191,0.14107,0.645,0.24331,0.000273626,0.000273626,0.000273626
9,335.723,0.08566,0.40538,0.90627,0.8185,0.59253,0.66511,0.61024,0.2657,1.08812,0.37906,0.000270715,0.000270715,0.000270715
10,374.772,0.08305,0.40979,0.9044,0.69355,0.83643,0.73363,0.73354,0.1417,0.61916,0.2185,0.000267805,0.000267805,0.000267805
11,409.159,0.08229,0.38813,0.90068,0.6646,0.83178,0.72955,0.72905,0.15151,0.65975,0.22585,0.000264894,0.000264894,0.000264894
12,443.494,0.08284,0.38348,0.90188,0.67857,0.79218,0.7226,0.72186,0.09888,0.58518,0.18128,0.000261983,0.000261983,0.000261983
13,477.742,0.07422,0.3711,0.89983,0.69789,0.73318,0.71472,0.70881,0.1499,0.68828,0.21301,0.000259073,0.000259073,0.000259073
14,511.933,0.07448,0.37388,0.90138,0.7458,0.80908,0.77459,0.77424,0.10017,0.5639,0.17095,0.000256162,0.000256162,0.000256162
15,546.195,0.07334,0.36432,0.90067,0.78814,0.72414,0.74579,0.74397,0.16167,0.64866,0.27066,0.000253252,0.000253252,0.000253252
16,580.347,0.07237,0.3699,0.90339,0.74502,0.82347,0.77763,0.77761,0.10795,0.56981,0.19299,0.000250341,0.000250341,0.000250341
17,614.601,0.06969,0.37359,0.89922,0.68861,0.84977,0.75364,0.7509,0.11979,0.56866,0.20758,0.00024743,0.00024743,0.00024743
18,648.813,0.06768,0.35088,0.89884,0.77167,0.80135,0.80359,0.80085,0.14404,0.63013,0.21646,0.00024452,0.00024452,0.00024452
19,683.139,0.06166,0.34004,0.8978,0.75437,0.78139,0.78531,0.76625,0.19197,0.6299,0.24516,0.000241609,0.000241609,0.000241609
20,717.248,0.0631,0.33357,0.89751,0.71149,0.86551,0.8003,0.79409,0.14384,0.5487,0.23155,0.000238699,0.000238699,0.000238699
21,751.382,0.0654,0.33891,0.89596,0.65965,0.80009,0.75167,0.72381,0.20003,0.71196,0.24029,0.000235788,0.000235788,0.000235788
22,785.483,0.06655,0.33278,0.89984,0.85642,0.72313,0.81575,0.81559,0.11527,0.46787,0.17306,0.000232877,0.000232877,0.000232877
23,819.615,0.06375,0.34725,0.8984,0.73995,0.87983,0.79236,0.79143,0.13382,0.52124,0.21087,0.000229967,0.000229967,0.000229967
24,853.729,0.0611,0.33602,0.89177,0.68262,0.92101,0.8215,0.82102,0.1121,0.51211,0.15936,0.000227056,0.000227056,0.000227056
25,887.861,0.0605,0.31476,0.89252,0.82646,0.79058,0.81157,0.79551,0.13361,0.56772,0.20958,0.000224146,0.000224146,0.000224146
26,921.996,0.0589,0.32463,0.89374,0.89573,0.72449,0.78485,0.78479,0.16732,0.54947,0.23916,0.000221235,0.000221235,0.000221235
27,956.052,0.06147,0.31755,0.89435,0.78855,0.84282,0.83621,0.83405,0.15014,0.50591,0.20848,0.000218324,0.000218324,0.000218324
28,990.23,0.05906,0.31109,0.8971,0.87508,0.73526,0.81143,0.80424,0.15265,0.49012,0.21051,0.000215414,0.000215414,0.000215414
29,1024.43,0.05787,0.31704,0.89515,0.78229,0.84978,0.82959,0.82392,0.11012,0.44274,0.17297,0.000212503,0.000212503,0.000212503
30,1058.45,0.05522,0.30376,0.89358,0.79689,0.77458,0.80311,0.80034,0.13788,0.50565,0.19395,0.000209593,0.000209593,0.000209593
31,1092.41,0.05351,0.31096,0.89272,0.7179,0.86498,0.82723,0.82122,0.11345,0.49987,0.17978,0.000206682,0.000206682,0.000206682
32,1126.52,0.05186,0.31071,0.89322,0.75321,0.8848,0.84187,0.82827,0.13755,0.44372,0.20108,0.000203771,0.000203771,0.000203771
33,1160.61,0.0542,0.30998,0.89286,0.69203,0.96762,0.82488,0.82488,0.11091,0.54987,0.16789,0.000200861,0.000200861,0.000200861
34,1194.62,0.05358,0.30105,0.89176,0.75633,0.89769,0.83584,0.83483,0.1523,0.57594,0.21142,0.00019795,0.00019795,0.00019795
35,1228.79,0.05259,0.30663,0.89523,0.79479,0.84713,0.82627,0.82132,0.18456,0.50376,0.24818,0.00019504,0.00019504,0.00019504
36,1262.88,0.05048,0.30909,0.8921,0.76332,0.8845,0.83028,0.82962,0.13111,0.50521,0.19665,0.000192129,0.000192129,0.000192129
37,1297.02,0.04862,0.29483,0.88811,0.8168,0.85936,0.83993,0.83713,0.13676,0.49344,0.1907,0.000189218,0.000189218,0.000189218
38,1331.18,0.04949,0.30072,0.89004,0.76661,0.88203,0.87418,0.87306,0.11762,0.40219,0.17121,0.000186308,0.000186308,0.000186308
39,1365.33,0.0467,0.29757,0.89173,0.81335,0.85069,0.86456,0.86254,0.1173,0.44418,0.1651,0.000183397,0.000183397,0.000183397
40,1399.42,0.0457,0.28133,0.89313,0.75751,0.84866,0.86318,0.85825,0.09363,0.43362,0.14261,0.000180487,0.000180487,0.000180487
41,1433.52,0.04636,0.28679,0.88728,0.72559,0.86031,0.84779,0.8369,0.09154,0.47482,0.15185,0.000177576,0.000177576,0.000177576
42,1467.58,0.04691,0.2802,0.88949,0.82509,0.85505,0.9117,0.90838,0.1403,0.38366,0.19682,0.000174665,0.000174665,0.000174665
43,1501.74,0.04796,0.28814,0.89394,0.81289,0.84116,0.88504,0.88409,0.11605,0.44754,0.15612,0.000171755,0.000171755,0.000171755
44,1535.81,0.04483,0.28328,0.88785,0.77996,0.89493,0.87831,0.87599,0.12609,0.47106,0.16605,0.000168844,0.000168844,0.000168844
45,1569.88,0.04526,0.26703,0.89306,0.7554,0.86722,0.89294,0.89294,0.09318,0.44862,0.13776,0.000165934,0.000165934,0.000165934
46,1603.93,0.0464,0.27505,0.89137,0.81113,0.86156,0.89817,0.89262,0.10556,0.42505,0.15079,0.000163023,0.000163023,0.000163023
47,1638.09,0.04389,0.27554,0.89151,0.8429,0.8477,0.9058,0.90334,0.10934,0.45336,0.16249,0.000160112,0.000160112,0.000160112
48,1672.17,0.04423,0.27855,0.88955,0.82645,0.85835,0.90157,0.89757,0.12205,0.47267,0.16646,0.000157202,0.000157202,0.000157202
49,1706.24,0.04237,0.27995,0.88872,0.8888,0.80209,0.87451,0.8732,0.11178,0.41596,0.17172,0.000154291,0.000154291,0.000154291
50,1740.41,0.04123,0.26731,0.88938,0.88997,0.7913,0.89393,0.88322,0.1384,0.50246,0.19334,0.000151381,0.000151381,0.000151381
51,1774.59,0.042,0.27313,0.89135,0.82267,0.8752,0.91411,0.90974,0.15766,0.40294,0.20438,0.00014847,0.00014847,0.00014847
52,1808.79,0.0402,0.26523,0.89085,0.85718,0.84265,0.89466,0.89378,0.09028,0.33966,0.15683,0.000145559,0.000145559,0.000145559
53,1842.82,0.04077,0.25664,0.8881,0.84043,0.87529,0.91711,0.91241,0.1225,0.36904,0.18228,0.000142649,0.000142649,0.000142649
54,1876.9,0.0405,0.26858,0.88878,0.93053,0.75474,0.89861,0.88689,0.16017,0.51513,0.21774,0.000139738,0.000139738,0.000139738
55,1910.9,0.03983,0.25906,0.88967,0.86944,0.86754,0.91021,0.90452,0.11426,0.35653,0.15638,0.000136828,0.000136828,0.000136828
56,1945.02,0.03837,0.25108,0.88678,0.849,0.86282,0.91198,0.90965,0.1187,0.40184,0.15997,0.000133917,0.000133917,0.000133917
57,1979.06,0.03785,0.25807,0.88585,0.83227,0.8626,0.89724,0.87007,0.1719,0.50937,0.19369,0.000131006,0.000131006,0.000131006
58,2013.16,0.03749,0.24928,0.89008,0.85738,0.83746,0.88602,0.8846,0.15121,0.42646,0.2002,0.000128096,0.000128096,0.000128096
59,2047.3,0.03641,0.23867,0.88906,0.84393,0.85135,0.89933,0.89933,0.10212,0.37199,0.15026,0.000125185,0.000125185,0.000125185
